model_id,family,size_b,reasoning,size_group,villager_accuser__target_shift__trust,villager_accuser__target_shift__trust_ci95,villager_accuser__target_shift__trust_n,villager_accuser__target_shift__neutral,villager_accuser__target_shift__neutral_ci95,villager_accuser__target_shift__neutral_n,villager_accuser__target_shift__distrust,villager_accuser__target_shift__distrust_ci95,villager_accuser__target_shift__distrust_n,villager_accuser__accuser_shift__trust,villager_accuser__accuser_shift__trust_ci95,villager_accuser__accuser_shift__trust_n,villager_accuser__accuser_shift__neutral,villager_accuser__accuser_shift__neutral_ci95,villager_accuser__accuser_shift__neutral_n,villager_accuser__accuser_shift__distrust,villager_accuser__accuser_shift__distrust_ci95,villager_accuser__accuser_shift__distrust_n,wolf_accuser__target_shift__trust,wolf_accuser__target_shift__trust_ci95,wolf_accuser__target_shift__trust_n,wolf_accuser__target_shift__neutral,wolf_accuser__target_shift__neutral_ci95,wolf_accuser__target_shift__neutral_n,wolf_accuser__target_shift__distrust,wolf_accuser__target_shift__distrust_ci95,wolf_accuser__target_shift__distrust_n,wolf_accuser__accuser_shift__trust,wolf_accuser__accuser_shift__trust_ci95,wolf_accuser__accuser_shift__trust_n,wolf_accuser__accuser_shift__neutral,wolf_accuser__accuser_shift__neutral_ci95,wolf_accuser__accuser_shift__neutral_n,wolf_accuser__accuser_shift__distrust,wolf_accuser__accuser_shift__distrust_ci95,wolf_accuser__accuser_shift__distrust_n
google/gemma-4-26B-A4B-it,Gemma,26.0,False,10-29B,0.634469696969697,0.08967349896732367,528,0.6282271944922547,0.0808714678534555,581,0.2692307692307692,0.25878248047530455,52,-0.007207207207207207,0.027373224706089456,555,-0.20949263502454993,0.07441019868813054,611,-0.058823529411764705,0.31242969151748945,68,0.5985915492957746,0.16160800299385833,142,0.5633802816901409,0.08424528151389096,639,0.02054794520547945,0.0800891545655586,292,0.038461538461538464,0.10065457332700237,156,-0.03886397608370702,0.08349537252817582,669,0.21763085399449036,0.09076626967961526,363
google/gemma-4-26B-A4B-it-r,Gemma,26.0,True,10-29B,1.153366583541147,0.07616736289022416,802,0.9639344262295082,0.11597004106682629,305,0.05555555555555555,0.35299880000772654,54,-0.09243697478991597,0.040634441533028254,833,-0.24923076923076923,0.12824480097278998,325,0.8289473684210527,0.3751105321866352,76,1.1330049261083743,0.12101415719468855,406,0.7705882352941177,0.12754803859172037,340,-0.10091743119266056,0.10217036581221882,327,0.04716981132075472,0.08446212115493212,424,0.09803921568627451,0.13925747738233007,357,0.7641277641277642,0.1271450731547704,407
Qwen/Qwen3.6-27B,Qwen,27.0,True,10-29B,0.7920529801324503,0.06923629561719649,755,0.7555555555555555,0.11311978473097643,360,-0.2391304347826087,0.4229030803067214,46,-0.5752551020408163,0.06885344301907566,784,-0.7714285714285715,0.14560448711034515,385,0.676923076923077,0.4729445968778757,65,0.9343283582089552,0.11002060061323353,335,0.41012658227848103,0.11171089923234821,395,-0.06997084548104957,0.11160173336932144,343,-0.7020057306590258,0.12153914395942146,349,0.01201923076923077,0.1526322246670352,416,0.45390070921985815,0.1458797816964743,423
Qwen/Qwen3.6-27B-nothink,Qwen,27.0,False,10-29B,0.8881987577639752,0.07757750048485862,805,0.7222222222222222,0.14067287861374225,288,0.1791044776119403,0.31724597450066616,67,-0.7333333333333333,0.08755264870839062,840,-0.8169934640522876,0.19007774092693633,306,-0.022988505747126436,0.45990866664043356,87,0.7289972899728997,0.13797301531594086,369,0.40294117647058825,0.13877282430421797,340,-0.23351648351648352,0.13631819815558527,364,-0.6221662468513854,0.1641968956805787,397,-0.1282051282051282,0.19573903292806769,351,0.45,0.16487918981925062,440
Qwen/Qwen3-30B-A3B,Qwen,30.0,True,>=30B,1.451048951048951,0.0724410760897598,858,1.113821138211382,0.12843947623217492,246,0.19298245614035087,0.3750502992838706,57,-0.5723830734966593,0.07437248903512472,898,-0.8326996197718631,0.17296912146333204,263,0.3972602739726027,0.45196347031963474,73,1.6858846918489065,0.08982756061101697,503,0.9241379310344827,0.12887269718806604,290,0.21071428571428572,0.09318173171522424,280,-0.9447513812154696,0.11008056236226907,543,-0.53156146179402,0.16227067328377073,301,0.39244186046511625,0.15895212738227504,344
zai-org/GLM-4.7-Flash,GLM,30.0,True,>=30B,0.8724428399518652,0.08156536087272147,831,0.4963235294117647,0.14035592858761667,272,0.2727272727272727,0.39546433673392756,55,-0.2694954128440367,0.06670344909445529,872,-0.6275862068965518,0.17044221905747203,290,-0.7536231884057971,0.4054818895112617,69,0.6337448559670782,0.11438590966810314,486,0.31871345029239767,0.1223258349956873,342,-0.128099173553719,0.1254772802795317,242,-0.10982658959537572,0.09613296446114589,519,-0.2222222222222222,0.1600911051188305,360,0.12131147540983607,0.15020101873940148,305
google/gemma-4-31B-it,Gemma,31.0,False,>=30B,0.7892376681614349,0.09458409861499936,446,0.7883755588673621,0.0761125071131759,671,0.06818181818181818,0.2580490904403093,44,-0.040948275862068964,0.04558801953541744,464,-0.40283687943262414,0.0868980070408728,705,1.4615384615384615,0.33310277035969216,65,0.8870967741935484,0.2473024730179879,62,0.6438746438746439,0.07344422991133917,702,0.009708737864077669,0.0625636572166571,309,-0.10606060606060606,0.14117778227302566,66,0.09769335142469471,0.10003438077721138,737,0.8597402597402597,0.12386335001356948,385
google/gemma-4-31B-it-r,Gemma,31.0,True,>=30B,0.8184615384615385,0.08032875170787239,650,0.6702355460385439,0.09216686719386423,467,-0.3409090909090909,0.2916297561371552,44,-0.02962962962962963,0.04839865173334999,675,-0.16396761133603238,0.11231499500963046,494,1.1846153846153846,0.3241538461538462,65,0.8546255506607929,0.1374243653822339,227,0.5108910891089109,0.09690733758320458,505,-0.2668621700879765,0.09400773424703932,341,0.06086956521739131,0.10841431690702472,230,0.3568702290076336,0.12168192820880265,524,0.8732718894009217,0.11276463221149943,434
allenai/Olmo-3.1-32B-Instruct,Olmo,32.0,False,>=30B,0.9697933227344993,0.09179450478258241,629,0.7959183673469388,0.109918728110209,490,0.4857142857142857,0.5168301575611721,35,-0.2213855421686747,0.07080171464391875,664,-0.6589147286821705,0.1367695886358912,516,-0.4375,0.7516798268257155,48,1.1531531531531531,0.1614248544330483,222,0.840531561461794,0.10501800897049977,602,0.06666666666666667,0.14430625009620818,240,-0.364,0.14777873624151938,250,-0.5584,0.1316723872055575,625,0.10891089108910891,0.2017363337939718,303
allenai/Olmo-3.1-32B-Think,Olmo,32.0,True,>=30B,0.7839586028460543,0.07782771412100482,773,0.7464788732394366,0.10301952693296687,355,1.0303030303030303,0.48616034645060613,33,-0.40470297029702973,0.07308636481989833,808,-0.9581151832460733,0.14324008587403847,382,-1.3181818181818181,0.5284679171147154,44,0.8479809976247031,0.10692887769089711,421,0.5,0.10570989194769766,396,0.06666666666666667,0.13111979483275668,255,-0.4943310657596372,0.11081252810979023,441,-0.5311778290993071,0.1374433785156852,433,-0.5559105431309904,0.1378803023611732,313
Qwen/Qwen3.6-35B-A3B,Qwen,35.0,True,>=30B,0.673733804475854,0.07159473338257395,849,0.4444444444444444,0.11907068301416492,261,0.13725490196078433,0.32943555469650354,51,-0.15610859728506787,0.0530787916324198,884,-0.2791519434628975,0.16636126123055422,283,0.9253731343283582,0.4153992393815111,67,0.6196581196581197,0.09799185185412633,468,0.30030959752321984,0.10167285626188596,323,-0.1453900709219858,0.0992128893646626,282,0.049800796812749,0.09130282254032566,502,0.4198250728862974,0.1502717433493936,343,0.760932944606414,0.1425379893583163,343
Qwen/Qwen3.6-35B-A3B-nothink,Qwen,35.0,False,>=30B,0.8090322580645162,0.0906719030428036,775,0.5162337662337663,0.1498794932345999,308,-0.5671641791044776,0.30694247992070106,67,-0.4430844553243574,0.10362790395834252,817,-0.15987460815047022,0.21937831704736543,319,1.1511627906976745,0.43316435169772854,86,0.6345177664974619,0.13851777364672835,394,0.13564668769716087,0.14001171815478083,317,-0.5086206896551724,0.1200434354005006,348,-0.19014084507042253,0.16884631109527395,426,0.6904024767801857,0.20779811613349497,323,1.0774647887323943,0.15405076636691054,426
meta-llama/Llama-3.3-70B-Instruct,Llama,70.0,False,>=30B,1.0198347107438017,0.11370261326753907,605,0.8430583501006036,0.12581495955607158,497,0.11864406779661017,0.5061099273050043,59,-1.5662460567823344,0.11780163086508134,634,-2.3709369024856595,0.09753390373498673,523,-0.5194805194805194,0.5549994219967286,77,1.0618556701030928,0.200870049677265,194,0.6876061120543294,0.1253490490089316,589,-0.07241379310344828,0.179058766176551,290,-2.0585585585585586,0.18225884290397543,222,-1.8445171849427169,0.1278655378118689,611,-0.05070422535211268,0.18528788608375418,355
openai/gpt-oss-120b,GPT-OSS,120.0,True,>=30B,1.2015113350125946,0.068173845423277,794,0.719626168224299,0.11679814700896927,321,0.06521739130434782,0.38724717955310356,46,-0.5628815628815629,0.06821577768035192,819,0.10743801652892562,0.1377232343778409,363,0.6923076923076923,0.41879356448939487,52,1.2169811320754718,0.0937162436376159,424,0.7537688442211056,0.11392965302917522,398,-0.42231075697211157,0.16172704394217416,251,-0.45372460496614,0.0974263906327666,443,0.19495412844036697,0.12717048340804218,436,0.7831715210355987,0.13574029194712178,309
openai/gpt-oss-120b-nr,GPT-OSS,120.0,False,>=30B,1.0721893491124261,0.06333109165422733,845,0.6425855513307985,0.12680239889501732,263,0.17391304347826086,0.4009143927904881,46,-0.4124860646599777,0.06549287807260443,897,0.14695340501792115,0.16001706671674382,279,0.84,0.3812937974843021,50,1.20616570327553,0.07588009203608322,519,0.668769716088328,0.12664432209681514,317,-0.03056768558951965,0.1601955490175133,229,-0.4234875444839858,0.08989426881198168,562,0.00303951367781155,0.14820495123653327,329,0.4117647058823529,0.15282210045269737,289
