model_id,family,size_b,reasoning,size_group,villager_accuser__target_shift__suspect,villager_accuser__target_shift__suspect_ci95,villager_accuser__target_shift__suspect_n,villager_accuser__target_shift__accuse,villager_accuser__target_shift__accuse_ci95,villager_accuser__target_shift__accuse_n,villager_accuser__accuser_shift__suspect,villager_accuser__accuser_shift__suspect_ci95,villager_accuser__accuser_shift__suspect_n,villager_accuser__accuser_shift__accuse,villager_accuser__accuser_shift__accuse_ci95,villager_accuser__accuser_shift__accuse_n,wolf_accuser__target_shift__suspect,wolf_accuser__target_shift__suspect_ci95,wolf_accuser__target_shift__suspect_n,wolf_accuser__target_shift__accuse,wolf_accuser__target_shift__accuse_ci95,wolf_accuser__target_shift__accuse_n,wolf_accuser__accuser_shift__suspect,wolf_accuser__accuser_shift__suspect_ci95,wolf_accuser__accuser_shift__suspect_n,wolf_accuser__accuser_shift__accuse,wolf_accuser__accuser_shift__accuse_ci95,wolf_accuser__accuser_shift__accuse_n
google/gemma-4-E4B-it,Gemma,4.0,False,<=4B,0.2864721485411141,0.08665211725618696,377,0.8908857509627728,0.08521926684416566,779,-0.004819277108433735,0.06687077940371404,415,0.1339066339066339,0.04661964248391755,814,0.17929292929292928,0.07552777301169027,396,0.7718518518518519,0.09900682419558311,675,-0.07875894988066826,0.072615446643244,419,0.014341590612777053,0.06319875690909542,767
google/gemma-4-E4B-it-r,Gemma,4.0,True,<=4B,0.6843501326259946,0.09304317796113944,377,1.2813299232736572,0.07673438575131838,782,-0.25783132530120484,0.08989450919240002,415,-0.13219094247246022,0.06202949631705175,817,0.4593908629441624,0.09236264468371538,394,1.043026706231454,0.09338668528283302,674,-0.1510791366906475,0.0864503378611905,417,0.02741514360313316,0.07657425134465491,766
allenai/Olmo-3-7B-Instruct,Olmo,7.0,False,5-9B,-0.7698412698412699,0.19210445821828614,378,-0.9540229885057471,0.18491996546114994,783,-0.6201923076923077,0.1026999243078638,416,-0.2713936430317848,0.07827015366509536,818,-0.7455919395465995,0.15951523103599904,397,-0.21925925925925926,0.18275852976107304,675,-0.9095238095238095,0.11563768984024388,420,-1.0755208333333333,0.11281721803144114,768
allenai/Olmo-3-7B-Think,Olmo,7.0,True,5-9B,1.0582010582010581,0.1929266563986816,378,1.6960408684546615,0.11351045004185097,783,-0.37740384615384615,0.15093216621571112,416,-0.16748166259168704,0.100584604456049,818,1.0528967254408061,0.1663087797599402,397,1.5502958579881656,0.1299977666043792,676,-0.5476190476190477,0.16650773647497472,420,-0.33984375,0.12422607193563825,768
Qwen/Qwen3-8B,Qwen,8.0,True,5-9B,0.8703703703703703,0.1492793876539324,378,1.264367816091954,0.09305822412057442,783,-0.3798076923076923,0.14009327335959926,416,-0.27383863080684595,0.09219398240831761,818,0.5062972292191436,0.13476468000551992,397,1.0281065088757397,0.11513237856896523,676,-0.21666666666666667,0.14621051144447497,420,-0.059895833333333336,0.11064664079819692,768
meta-llama/Llama-3.1-8B-Instruct,Llama,8.0,False,5-9B,-0.17989417989417988,0.1931394595160078,378,0.8901660280970626,0.13083927005451768,783,-2.6346153846153846,0.12484682566285882,416,-2.641809290953545,0.08544345900480194,818,-0.1964735516372796,0.1855319197243771,397,0.5511111111111111,0.14711176637902998,675,-2.730952380952381,0.10516130983990624,420,-2.6714471968709255,0.0908826265600179,767
mistralai/Ministral-3-8B-Instruct-2512,Mistral,8.0,False,5-9B,0.9787798408488063,0.1680312093317071,377,1.664092664092664,0.11337126159914401,777,-1.5710843373493977,0.15765816845239736,415,-1.1446078431372548,0.12610440774639392,816,0.6075949367088608,0.16192276199227662,395,1.2210682492581602,0.1422731896872213,674,-1.171837708830549,0.17496279463227418,419,-0.8448500651890483,0.15538405171737615,767
Qwen/Qwen3.5-9B,Qwen,9.0,True,5-9B,0.824,0.11423080037055541,375,1.2930591259640103,0.08693207013978764,778,-0.3907766990291262,0.10841441763600142,412,-0.5658056580565806,0.09323280445188349,813,0.5421994884910486,0.10962737805598055,391,0.7607726597325408,0.1124439377772459,673,-0.033734939759036145,0.114616206395516,415,-0.08235294117647059,0.1084025678435588,765
Qwen/Qwen3.5-9B-nothink,Qwen,9.0,False,5-9B,0.6402266288951841,0.15915533163811235,353,1.0241935483870968,0.11238804441966226,744,-0.6666666666666666,0.17861117211912472,393,-0.6782051282051282,0.12677902779480535,780,0.36939313984168864,0.16328489135594512,379,0.8166144200626959,0.13616799116260617,638,-0.3325062034739454,0.18818500611070055,403,-0.5302197802197802,0.15148109903027848,728
nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron,9.0,True,5-9B,0.7301587301587301,0.1614117239783179,378,1.3657289002557544,0.12618498993306385,782,-0.2932692307692308,0.1368984182766239,416,-0.2558139534883721,0.10533571782185706,817,0.49622166246851385,0.1462439398763667,397,1.2928994082840237,0.13572351014521541,676,-0.23095238095238096,0.1397456453672113,420,-0.21354166666666666,0.1253413307915752,768
